GROUPS,FILE NAMES,ATTRIBUTE NAMES,% DISTRIBUTION,expected_dist,upper,lower,real_dist,difference
9-HATS,JRS HAT 32 TROOPER BLACK.png,TROOPER BLACK,0.2,9,9,8,10.0,0.09999999999999998
9-HATS,JRS HAT 33 TROOPER GOLD.png,TROOPER GOLD,0.1,4,4,3,5.0,0.19999999999999996
9-HATS,JRS HAT 34 TROOPER GREEN JRS.png,TROOPER GREEN JRS,0.1,4,4,3,5.0,0.19999999999999996
10-IN MOUTH,JRS IN MOUTH 1 CIGAR.png,CIGAR,5,242,249,234,242.0,0.0
10-IN MOUTH,JRS IN MOUTH 2 CIGARIO.png,CIGARIO,3,145,149,140,145.0,0.0
10-IN MOUTH,JRS IN MOUTH 3 CIGARETTE.png,CIGARETTE,3,145,149,140,146.0,0.006849315068493178
10-IN MOUTH,JRS IN MOUTH 4 JOINT.png,JOINT,1,48,49,46,48.0,0.0
10-IN MOUTH,JRS IN MOUTH 5 PIPE BROWN RUSTED.png,PIPE BROWN RUSTED,0.6,29,29,28,29.0,0.0
10-IN MOUTH,JRS IN MOUTH 6 PIPE BLACK.png,PIPE BLACK,0.6,29,29,28,29.0,0.0
10-IN MOUTH,JRS IN MOUTH 7 PIPE BROWN RED.png,PIPE BROWN RED,0.3,14,14,13,15.0,0.06666666666666665
10-IN MOUTH,JRS IN MOUTH 8 PIPE BROWN GOLD.png,PIPE BROWN GOLD,0.5,24,24,23,24.0,0.0
10-IN MOUTH,JRS IN MOUTH 9 PIPE GOLD.png,PIPE GOLD,1,48,49,46,48.0,0.0
10-IN MOUTH,JRS IN MOUTH 10 DAGGER RUSTED.png,DAGGER RUSTED MOUTH,3,145,149,140,145.0,0.0
10-IN MOUTH,JRS IN MOUTH 11 DAGGER BLACK.png,DAGGER BLACK MOUTH,3,145,149,140,146.0,0.006849315068493178
10-IN MOUTH,JRS IN MOUTH 12 DAGGER GOLD JRS.png,DAGGER GOLD JRS MOUTH,1,48,49,46,48.0,0.0
11-BEARD,JRS BEARD 1 GREY.png,BEARD GREY,3,145,149,140,145.0,0.0
11-BEARD,JRS BEARD 2 BLACK.png,BEARD BLACK,2,96,98,93,97.0,0.010309278350515427
11-BEARD,JRS BEARD 3 WHITE.png,BEARD WHITE,2,96,98,93,97.0,0.010309278350515427
11-BEARD,JRS BEARD 4 PINCH GREY.png,PINCH GREY,3,145,149,140,145.0,0.0
11-BEARD,JRS BEARD 5 PINCH BLACK.png,PINCH BLACK,2,96,98,93,97.0,0.010309278350515427
11-BEARD,JRS BEARD 6 PINCH WHITE.png,PINCH WHITE,2,96,98,93,96.0,0.0
11-BEARD,JRS BEARD 7 STACH GREY.png,STACH GREY,3,145,149,140,145.0,0.0
11-BEARD,JRS BEARD 8 STACH BLACK.png,STACH BLACK,2,96,98,93,97.0,0.010309278350515427
11-BEARD,JRS BEARD 9 STACH WHITE.png,STACH WHITE,2,96,98,93,97.0,0.010309278350515427
